,Location,Sex Assigned at Birth,Age,Education,Race/Origin,Citizenship,Marital Status,Religion,Religious Service Attendance,Politics,Income,Political Views,Household Size,Employment Status
1451,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,Postgraduate,White,,Married,Jewish,Seldom,Independent,,Moderate,4,Self-employed
1453,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Nothing in particular,Never,Democrat,,Liberal,More than 4,Home-maker
1454,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Associate's degree,White,Yes,Married,Protestant,Once or twice a month,Republican,,Conservative,2,Retired
1456,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,High school graduate,White,,Married,Protestant,A few times a year,,,Liberal,3 people,Self-employed
1457,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",,Roman Catholic,Once a week,,,Conservative,2 people,Full-time employment
1460,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,"Some college, no degree",White,"Yes, a citizen of the United States",Widowed,Protestant,Once a week,Republican,"Less than $30,000",Conservative,1 person,Retired
1461,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Jewish,Seldom,Democrat,,Very liberal,1 person,Full-time employment
1465,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,18-29,College graduate/some postgrad,White,,Never been married,Nothing in particular,Never,Democrat,,Liberal,3,Unemployed
1466,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Other,A few times a year,,,Conservative,4 people,Retired
1467,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Conservative,4 people,Full-time employment
1470,"Pacific (HI, AK)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Roman Catholic,Once a week,,,Moderate,More than 4,Self-employed
1471,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Conservative,3 people,Retired
1472,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Never been married,Protestant,A few times a year,Democrat,,Very liberal,1 person,Full-time employment
1474,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,18-29,College graduate/some postgrad,White,,,Roman Catholic,A few times a year,,,Moderate,2 people,Full-time employment
1476,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,"Some college, no degree",White,,Married,Protestant,Once a week,Republican,,Conservative,2,Full-time employment
1478,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,Postgraduate,White,,Married,Roman Catholic,More than once a week,Republican,"\$100,000 or more",Very conservative,4,Retired
1480,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Nothing in particular,Never,Independent,,Conservative,More than 4,Self-employed
1481,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,High school graduate,White,"Yes, a citizen of the United States",Never been married,Protestant,Once a week,,,Conservative,3 people,Unemployed
1482,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,College graduate/some postgrad,White,,Married,Roman Catholic,Once a week,Democrat,,Liberal,4,Part-time employment
1483,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,High school graduate,White,"Yes, a citizen of the United States",Married,Protestant,A few times a year,Republican,,Conservative,4 people,Home-maker
1484,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Associate's degree,Other,,,Agnostic,Never,,,Moderate,4 people,Full-time employment
1485,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Divorced,Agnostic,Never,Democrat,,Very liberal,2 people,Self-employed
1486,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,Asian,"Yes, a citizen of the United States",Widowed,Agnostic,Never,,,Liberal,2 people,Full-time employment
1489,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,College graduate/some postgrad,Black,,,Nothing in particular,Never,Something else,,Very liberal,2,Full-time employment
1490,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,College graduate/some postgrad,Black,,,Protestant,Seldom,Independent,,Conservative,2,Self-employed
1491,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,"Some college, no degree",White,,Never been married,Protestant,Seldom,Independent,,Moderate,1,Part-time employment
1494,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,College graduate/some postgrad,White,,Divorced,Atheist,Never,Democrat,"\$50,000-\$75,000",Liberal,1,Self-employed
1496,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Postgraduate,Black,"Yes, a citizen of the United States",Married,Other,More than once a week,Democrat,,Moderate,2 people,Retired
1498,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,College graduate/some postgrad,White,,Married,Protestant,More than once a week,Democrat,,Very liberal,4,Full-time employment
1499,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,High school graduate,White,"Yes, a citizen of the United States",Married,Other,More than once a week,,,Moderate,2 people,Retired
1501,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,High school graduate,White,"Yes, a citizen of the United States",Never been married,Roman Catholic,Never,Independent,"\$30,000-\$50,000",Moderate,3 people,Part-time employment
1503,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,College graduate/some postgrad,Other,,Divorced,Jewish,Never,Democrat,,Very liberal,2,Self-employed
1506,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,High school graduate,White,"Yes, a citizen of the United States",,Protestant,A few times a year,,,Liberal,1 person,Retired
1507,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,Associate's degree,Other,,Divorced,Atheist,Never,Independent,"Less than $30,000",Moderate,1 person,Self-employed
1508,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,College graduate/some postgrad,White,,Married,Nothing in particular,A few times a year,Independent,,Moderate,4,Full-time employment
1512,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",,Muslim,Seldom,Republican,"\$30,000-\$50,000",Conservative,4,Part-time employment
1513,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Associate's degree,White,"Yes, a citizen of the United States",Married,Roman Catholic,Seldom,,,Liberal,2 people,Retired
1516,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Protestant,Once a week,Republican,"\$100,000 or more",Very conservative,2 people,Full-time employment
1518,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,College graduate/some postgrad,White,,Married,Jewish,Seldom,Democrat,,Moderate,2,Retired
1520,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,High school graduate,Other,,,Roman Catholic,A few times a year,Democrat,,Liberal,2,Full-time employment
1523,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,"Some college, no degree",White,,Married,Other,Once a week,,,Conservative,More than 4,Full-time employment
1524,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,High school graduate,White,,Married,Atheist,Never,,,Moderate,2,Full-time employment
1526,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,Black,"Yes, a citizen of the United States",Married,Roman Catholic,Never,Democrat,,Liberal,2,Full-time employment
1527,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,Postgraduate,White,"Yes, a citizen of the United States",Divorced,Protestant,Once a week,,,Very liberal,1 person,Retired
1528,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,Associate's degree,White,"Yes, a citizen of the United States",Married,Roman Catholic,Once a week,Democrat,,Conservative,More than 4,Full-time employment
1529,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Associate's degree,White,"Yes, a citizen of the United States",,Jewish,Once a week,,,Very liberal,1 person,Retired
1530,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Postgraduate,Asian,"Yes, a citizen of the United States",Married,Buddhist,Seldom,Republican,"\$100,000 or more",Moderate,3 people,Full-time employment
1531,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Postgraduate,White,,Married,Protestant,More than once a week,Republican,,Very conservative,3,Retired
1533,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Atheist,Never,Democrat,,Very liberal,2 people,Full-time employment
1534,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,,Married,Protestant,Seldom,Democrat,,Liberal,3,Full-time employment
1537,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,Postgraduate,White,"Yes, a citizen of the United States",Married,Jewish,Seldom,,,Moderate,3 people,Part-time employment
1539,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,65+,College graduate/some postgrad,White,,Married,Jewish,Seldom,Democrat,,Liberal,2,Part-time employment
1542,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,"Some college, no degree",White,,Never been married,Atheist,Never,Republican,,Very conservative,1,Self-employed
1547,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,College graduate/some postgrad,Asian,,Divorced,Buddhist,Never,Independent,,Moderate,2,Retired
1548,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Married,Agnostic,Never,,,Moderate,2 people,Part-time employment
1549,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,College graduate/some postgrad,White,,Divorced,Protestant,Seldom,Independent,,Moderate,2,Full-time employment
1550,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,"Some college, no degree",Asian,,Separated,Protestant,A few times a year,,,Moderate,4,Full-time employment
1551,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Postgraduate,Hispanic,"Yes, a citizen of the United States",Never been married,Atheist,Seldom,,,Liberal,More than 4,Full-time employment
1552,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,High school graduate,Hispanic,"Yes, a citizen of the United States",Married,Roman Catholic,Seldom,,,Moderate,4 people,Part-time employment
1554,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,White,"Yes, a citizen of the United States",Divorced,Roman Catholic,Once a week,,,Moderate,3 people,Full-time employment
1558,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,,Married,Other,Once a week,Independent,,Moderate,4,Full-time employment
1560,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Atheist,Never,Democrat,,Very liberal,4 people,Part-time employment
1562,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Other,Once a week,,,Moderate,2 people,Part-time employment
1564,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,High school graduate,Hispanic,"Yes, a citizen of the United States",,Other,More than once a week,,,Moderate,3 people,Home-maker
1566,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,,Married,Roman Catholic,Once a week,Republican,,Very liberal,2,Part-time employment
1567,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Agnostic,A few times a year,,,Very liberal,3 people,Full-time employment
1568,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,,Married,Protestant,Never,Democrat,,Liberal,2,Retired
1571,"Lives in the South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,Associate's degree,White,"Yes, a citizen of the United States",,Protestant,Once a week,Democrat,"\$30,000-\$50,000",Liberal,3 people,Retired
1573,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,College graduate/some postgrad,Hispanic,,Married,Other,Seldom,Independent,,Moderate,3,Full-time employment
1577,"Pacific (HI, AK)",Female,50-64,College graduate/some postgrad,White,"Yes, a citizen of the United States",Divorced,Nothing in particular,Never,Democrat,"\$50,000-\$75,000",Liberal,2 people,Full-time employment
1578,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,College graduate/some postgrad,Hispanic,,Married,Roman Catholic,A few times a year,Republican,,Conservative,2 people,Part-time employment
1582,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,White,"Yes, a citizen of the United States",Never been married,Roman Catholic,Once a week,,,Conservative,4,Unemployed
1583,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,College graduate/some postgrad,White,,Widowed,Nothing in particular,Never,Democrat,,Liberal,1,Self-employed
1584,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,"Some college, no degree",White,,Never been married,Protestant,Once or twice a month,Republican,,Conservative,4,Student
1586,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,College graduate/some postgrad,White,,Married,Atheist,Never,Democrat,,Very liberal,2,Self-employed
1587,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,High school graduate,Black,"Yes, a citizen of the United States",Never been married,Protestant,Seldom,,,Moderate,3 people,Unemployed
1588,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,65+,College graduate/some postgrad,White,"Yes, a citizen of the United States",Married,Atheist,Never,,,Very liberal,2 people,Part-time employment
1590,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,Postgraduate,Black,"Yes, a citizen of the United States",Married,Protestant,Once or twice a month,,,Liberal,4 people,Full-time employment
1591,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,,,Conservative,More than 4,Full-time employment
1592,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,Postgraduate,White,"Yes, a citizen of the United States",,Protestant,Once or twice a month,,,Conservative,4 people,Full-time employment
1593,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Associate's degree,Hispanic,,Married,Agnostic,Never,Independent,,Moderate,4,Unemployed
1594,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,50-64,"Some college, no degree",White,,,Protestant,Never,Independent,,Moderate,3,Retired
1599,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,18-29,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Atheist,Never,Independent,,Very liberal,3 people,Part-time employment
1601,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,Associate's degree,White,"Yes, a citizen of the United States",Divorced,Atheist,Never,,,Moderate,1 person,Retired
1602,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Postgraduate,Asian,"Yes, a citizen of the United States",Married,Nothing in particular,Never,,,Liberal,2 people,Full-time employment
1606,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",White,,,Agnostic,Seldom,Democrat,,Liberal,More than 4,Full-time employment
1607,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,Associate's degree,Black,"Yes, a citizen of the United States",Never been married,Other,Once or twice a month,Democrat,"\$100,000 or more",Liberal,3 people,Full-time employment
1609,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,50-64,High school graduate,White,"Yes, a citizen of the United States",Married,Protestant,Never,Democrat,,Very liberal,4 people,Home-maker
1610,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,65+,College graduate/some postgrad,White,,Married,Agnostic,Never,,,Very liberal,2 people,Self-employed
1611,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,65+,"Some college, no degree",White,,Married,Agnostic,Never,,,Moderate,3,Full-time employment
1612,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,30-49,College graduate/some postgrad,White,,Married,Roman Catholic,Never,Republican,,Conservative,2 people,Full-time employment
1613,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Associate's degree,White,"Yes, a citizen of the United States",Married,Nothing in particular,Never,,,Moderate,More than 4,Home-maker
1616,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,18-29,"Some college, no degree",White,,Never been married,Nothing in particular,Seldom,,,Very liberal,More than 4,Student
1617,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Never been married,Agnostic,Never,Democrat,,Very liberal,2 people,Unemployed
1619,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,High school graduate,Black,,Never been married,Roman Catholic,Seldom,Democrat,,Liberal,4,Unemployed
1622,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,18-29,College graduate/some postgrad,White,,,Roman Catholic,Once or twice a month,,,Moderate,2,Full-time employment
1624,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,High school graduate,White,"Yes, a citizen of the United States",,Roman Catholic,Never,Republican,,Conservative,3 people,Full-time employment
1625,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,Associate's degree,White,,Widowed,Protestant,A few times a year,Democrat,"Less than $30,000",Liberal,2,Retired
1626,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,18-29,"Some college, no degree",Hispanic,,Never been married,Agnostic,Never,Democrat,,Liberal,4,Student
1627,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Postgraduate,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,Independent,"$100,000 or more",Moderate,2 people,Full-time employment
1629,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,30-49,Associate's degree,Hispanic,"Yes, a citizen of the United States",Never been married,Roman Catholic,Seldom,,,Liberal,1 person,Self-employed
1630,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Male,50-64,College graduate/some postgrad,White,,Never been married,Jewish,Never,Democrat,,Liberal,1,Full-time employment
1631,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,,Married,Agnostic,Never,Democrat,,Liberal,2,Full-time employment
1633,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,18-29,College graduate/some postgrad,Hispanic,"Yes, a citizen of the United States",Never been married,Roman Catholic,Never,Democrat,,Liberal,1 person,Full-time employment
1636,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,50-64,"Some college, no degree",White,,Married,Protestant,Seldom,Republican,,Conservative,2,Unemployed
1642,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Male,30-49,College graduate/some postgrad,White,"Yes, a citizen of the United States",,Roman Catholic,Once or twice a month,Democrat,,Liberal,3 people,Full-time employment
1647,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,Associate's degree,White,,Married,Nothing in particular,Seldom,Democrat,,Very liberal,3 people,Self-employed
1648,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,Associate's degree,White,"Yes, a citizen of the United States",,Roman Catholic,Seldom,Democrat,"\$100,000 or more",Liberal,2 people,Full-time employment
1649,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,College graduate/some postgrad,White,,Married,Nothing in particular,Never,Republican,,Moderate,2,Unemployed
1650,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,Other,,,Protestant,Once or twice a month,,,Moderate,3,Full-time employment
1652,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,College graduate/some postgrad,White,,Never been married,Roman Catholic,Once a week,Republican,,Very conservative,1 person,Part-time employment
1654,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Female,30-49,College graduate/some postgrad,White,,Married,Agnostic,Never,,,Liberal,4,Home-maker
1655,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,65+,"Some college, no degree",White,"Yes, a citizen of the United States",Widowed,Protestant,Once or twice a month,,,Conservative,1 person,Retired
1656,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,Other,,,Atheist,Never,Something else,,Very liberal,2 people,Full-time employment
1657,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Other,Never,Republican,,Very conservative,2 people,Full-time employment
1658,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,High school graduate,White,,Divorced,Nothing in particular,Never,,,Moderate,2 people,Retired
1660,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,30-49,"Some college, no degree",Black,"Yes, a citizen of the United States",Never been married,Protestant,Seldom,Republican,,Conservative,More than 4,Self-employed
1662,"West (WA, OR, ID, MT, WY, CA, NV, UT, CO, AZ, NM)",Female,50-64,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Other,Seldom,,,Conservative,2 people,Full-time employment
1663,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,Associate's degree,White,"Yes, a citizen of the United States",Married,Protestant,Once a week,Republican,,Conservative,More than 4 people,Part-time employment
1664,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,"Some college, no degree",White,"Yes, a citizen of the United States",Married,Nothing in particular,Never,,,Very liberal,3 people,Home-maker
1665,"Northeast (PA, NY, NJ, RI, CT, MA, VT, NH, ME)",Female,50-64,College graduate/some postgrad,Other,,Divorced,Protestant,A few times a year,,,Moderate,3 people,Self-employed
1670,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,65+,College graduate/some postgrad,White,"Yes, a citizen of the United States",Divorced,Atheist,Never,Independent,"\$100,000 or more",Moderate,2,Retired
1672,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,18-29,High school graduate,Hispanic,"Yes, a citizen of the United States",Married,Protestant,A few times a year,Republican,"Less than $30,000",Very conservative,3 people,Full-time employment
1673,"Midwest (ND, SD, NE, KS, MN, IA, MO, WI, IL, MI, IN, OH)",Male,50-64,Postgraduate,Black,"Yes, a citizen of the United States",Never been married,Atheist,Never,Democrat,"\$50,000-\$75,000",Liberal,1 person,Self-employed
1675,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,High school graduate,White,,,Nothing in particular,Seldom,Republican,,Very liberal,4,Self-employed
1676,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Female,30-49,Postgraduate,White,"Yes, a citizen of the United States",Married,Orthodox,Once a week,,,Moderate,3 people,Full-time employment
1677,"South (TX, OK, AR, LA, KY, TN, MS, AL, WV, DC, MD, DE, VA, NC, SC, GA, FL)",Male,30-49,Postgraduate,White,,,Atheist,Never (aside from weddings and funerals),Democrat,,Moderate,2 people,Full-time employment
